"Concept";"Value";"Concept description"
"Cluster centroids";"[['127427.933333' 'Menor de 10 kW' 'Precio indexado al Mercado Eléctrico'
  '08023' 'Domiciliada' 'Sí' 'Empresa' '2.0 A' 'Otros' 'No' 'No' 'Sí' '3'
  'Sí' 'No' '4' '3' '5 (Lo más importante)' '3'
  'No me importa si eso implica conseguir un precio más barato.'
  '5 (Me encantaría)' '2' 'Sí' 'Sí' '1 (Nada)' 'Sí' 'paypal']]";"Categories of cluster centroids"
"Cluster computing cost";"1.68665601184e+12";"Clustering cost, defined as the sum distance of all points to their respective cluster centroids."
"Cluster iterations";"1";"The number of iterations the algorithm ran for"
"Points labels";"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]";"Labels of each point"
"Gamma";"1007141.68019";"The (potentially calculated) weightting factor. Gamma relates the categorical cost to the numerical cost"
