"Solution cost";"Subservices included";"Description"
"2018-08-06 16:24:57_491.5900884834002";"Cusomer form id";"Product for customer with this id"
"2.0 DHA";"Tariff";"Tariff parameter"
"Menor de 10 kW";"Power";"Power parameter"
"653";"Consumption";"Consumption parameter"
"Domestico";"Customer type";"Customer type parameter"
"12";"Funding duration";"Funding duration parameter"
"4";"Green energy interest";"Green energy_interest parameter"
"3";"Battery interest";"battery interest parameter"
"4";"Smarthome interest";"Smarthome interest parameter"
"5";"Vehicle interest";"Vehicle interest parameter"
"2";"Business manager interest";"Business manager interest parameter"
"2";"Maintenance interest";"Maintenance interest parameter"
"1";"Insurance interest";"Insurance interest parameter"
"222,769";"All subservices";"Cost of the product with all the subservices included without considering interest (real value)"
"175,569";"All subservices with interest normalization";"Cost of the product with all the subservices included but normalizing price with interest (maximum value for the customer)"
"51,86";"Energy supply";"Main cost: energy supply (monthly)"
"87,19";"{'interest_green_energy_cost': 0.5264185545478481, 'interest_smarthome_cost': 86.20770830476754, 'insurance_maintenance_cost': 0.20756351692834876, 'interest_bm_cost': 0.24873173090410436}";"Subservice feasible combination (monthly)"
"89,361";"{'interest_vehicle_cost': 88.37817451219928, 'interest_green_energy_cost': 0.5264185545478481, 'insurance_maintenance_cost': 0.20756351692834876, 'interest_bm_cost': 0.24873173090410436}";"Subservice feasible combination (monthly)"
"175,042";"{'interest_vehicle_cost': 88.37817451219928, 'interest_smarthome_cost': 86.20770830476754, 'insurance_maintenance_cost': 0.20756351692834876, 'interest_bm_cost': 0.24873173090410436}";"Subservice feasible combination (monthly)"
"175,32";"{'interest_vehicle_cost': 88.37817451219928, 'interest_smarthome_cost': 86.20770830476754, 'insurance_maintenance_cost': 0.20756351692834876, 'interest_green_energy_cost': 0.5264185545478481}";"Subservice feasible combination (monthly)"
"175,361";"{'interest_vehicle_cost': 88.37817451219928, 'interest_green_energy_cost': 0.5264185545478481, 'interest_smarthome_cost': 86.20770830476754, 'interest_bm_cost': 0.24873173090410436}";"Subservice feasible combination (monthly)"
