"Solution cost";"Subservices included"
"98,435";"{'interest_bm_cost': 0.24744062140937917, 'insurance_maintenance_cost': 0.15647699073888352, 'interest_smarthome_cost': 97.39092951260689, 'interest_green_energy_cost': 0.6406104583793318}"
"100,299";"{'interest_vehicle_cost': 99.2541622026945, 'interest_bm_cost': 0.24744062140937917, 'insurance_maintenance_cost': 0.15647699073888352, 'interest_green_energy_cost': 0.6406104583793318}"
"197,049";"{'interest_vehicle_cost': 99.2541622026945, 'interest_bm_cost': 0.24744062140937917, 'insurance_maintenance_cost': 0.15647699073888352, 'interest_smarthome_cost': 97.39092951260689}"
"197,049";"{'interest_vehicle_cost': 99.2541622026945, 'interest_bm_cost': 0.24744062140937917, 'insurance_maintenance_cost': 0.15647699073888352, 'interest_smarthome_cost': 97.39092951260689}"
"197,442";"{'interest_vehicle_cost': 99.2541622026945, 'insurance_maintenance_cost': 0.15647699073888352, 'interest_smarthome_cost': 97.39092951260689, 'interest_green_energy_cost': 0.6406104583793318}"
"197,442";"{'interest_vehicle_cost': 99.2541622026945, 'insurance_maintenance_cost': 0.15647699073888352, 'interest_smarthome_cost': 97.39092951260689, 'interest_green_energy_cost': 0.6406104583793318}"
"197,533";"{'interest_vehicle_cost': 99.2541622026945, 'interest_bm_cost': 0.24744062140937917, 'interest_smarthome_cost': 97.39092951260689, 'interest_green_energy_cost': 0.6406104583793318}"
"197,533";"{'interest_vehicle_cost': 99.2541622026945, 'interest_bm_cost': 0.24744062140937917, 'interest_smarthome_cost': 97.39092951260689, 'interest_green_energy_cost': 0.6406104583793318}"
